"","id","accepted_date","title","ps","p_value"
"45","10.1371/journal.pone.0231696","2020-03-31T00:00:00Z","Mashes to Mashes, Crust to Crust. Presenting a novel microstructural marker for malting in the archaeological record","p = 3.078E",3.078
"46","10.1371/journal.pone.0231696","2020-03-31T00:00:00Z","Mashes to Mashes, Crust to Crust. Presenting a novel microstructural marker for malting in the archaeological record","p < 0.05 (",0.025
"47","10.1371/journal.pone.0147352","2015-12-31T00:00:00Z","Quantifying Oldowan Stone Tool Production at Olduvai Gorge, Tanzania","p = 0.24, ",0.24
"48","10.1371/journal.pone.0147352","2015-12-31T00:00:00Z","Quantifying Oldowan Stone Tool Production at Olduvai Gorge, Tanzania","p = 0.26, ",0.26
"49","10.1371/journal.pone.0147352","2015-12-31T00:00:00Z","Quantifying Oldowan Stone Tool Production at Olduvai Gorge, Tanzania","p = <0.01)",0.005
"50","10.1371/journal.pone.0271545","2022-07-02T00:00:00Z","Late Holocene dietary and cultural variability on the Xingu River, Amazon Basin: A stable isotopic approach","p = 0.000)",0
"51","10.1371/journal.pone.0271545","2022-07-02T00:00:00Z","Late Holocene dietary and cultural variability on the Xingu River, Amazon Basin: A stable isotopic approach","p = 0.089)",0.089
"52","10.1371/journal.pone.0271545","2022-07-02T00:00:00Z","Late Holocene dietary and cultural variability on the Xingu River, Amazon Basin: A stable isotopic approach","p = 0.009)",0.009
"53","10.1371/journal.pone.0271545","2022-07-02T00:00:00Z","Late Holocene dietary and cultural variability on the Xingu River, Amazon Basin: A stable isotopic approach","p = 0.026)",0.026
"54","10.1371/journal.pone.0271545","2022-07-02T00:00:00Z","Late Holocene dietary and cultural variability on the Xingu River, Amazon Basin: A stable isotopic approach","p = 0.025)",0.025
"55","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.247)",0.247
"56","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.046)",0.046
"57","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.018)",0.018
"58","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.044)",0.044
"59","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.005)",0.005
"60","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.044)",0.044
"61","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.005)",0.005
"62","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.032)",0.032
"63","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.032)",0.032
"64","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.106)",0.106
"65","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.042)",0.042
"66","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.106)",0.106
"67","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.042)",0.042
"68","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.245)",0.245
"69","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.215)",0.215
"70","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.260)",0.26
"71","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.623)",0.623
"72","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.260)",0.26
"73","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.623)",0.623
"74","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.142)",0.142
"75","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.152)",0.152
"76","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.171)",0.171
"77","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.208)",0.208
"78","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.171)",0.171
"79","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.208)",0.208
"80","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.760)",0.76
"81","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.939)",0.939
"82","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.939)",0.939
"83","10.1371/journal.pone.0078419","2013-09-20T00:00:00Z","Paleoindian Unifacial Stone Tool ‘Spurs’: Intended Accessories or Incidental Accidents?","p = 0.760)",0.76
"84","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p < 0.001)",5e-04
"85","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.377)",0.377
"86","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.120)",0.12
"87","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p < 0.001)",5e-04
"88","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.040)",0.04
"89","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.414)",0.414
"90","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.791)",0.791
"91","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.0892",0.0892
"92","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.909)",0.909
"93","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.622;",0.622
"94","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.544)",0.544
"95","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.409;",0.409
"96","10.1371/journal.pone.0239861","2020-09-14T00:00:00Z","Diet and subsistence in Bronze Age pastoral communities from the southern Russian steppes and the North Caucasus","p = 0.628)",0.628
"97","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.28),",0.28
"98","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.50) ",0.5
"99","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.99) ",0.99
"100","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.50; ",0.5
"101","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.99; ",0.99
"102","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.50. ",0.5
"103","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.27; ",0.27
"104","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.04; ",0.04
"105","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.50; ",0.5
"106","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.98; ",0.98
"107","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.50);",0.5
"108","10.1371/journal.pone.0091510","2014-02-12T00:00:00Z","Modeling Group Size and Scalar Stress by Logistic Regression from an Archaeological Perspective","p = 0.99) ",0.99
"109","10.1371/journal.pone.0185684","2017-09-18T00:00:00Z","Altered cropping pattern and cultural continuation with declined prosperity following abrupt and extreme arid event at ~4,200 yrs BP: Evidence from an Indus archaeological site Khirsara, Gujarat, western India","p = 0.05).",0.05
"110","10.1371/journal.pone.0233912","2020-05-14T00:00:00Z","Aboriginal artefacts on the continental shelf reveal ancient drowned cultural landscapes in northwest Australia","p = 0.0807",0.0807
"111","10.1371/journal.pone.0182565","2017-07-20T00:00:00Z","Reconstructing Asian faunal introductions to eastern Africa from multi-proxy biomolecular and archaeological datasets","p = 0.54) ",0.54
"112","10.1371/journal.pone.0182565","2017-07-20T00:00:00Z","Reconstructing Asian faunal introductions to eastern Africa from multi-proxy biomolecular and archaeological datasets","p = 0.46),",0.46
"113","10.1371/journal.pone.0182565","2017-07-20T00:00:00Z","Reconstructing Asian faunal introductions to eastern Africa from multi-proxy biomolecular and archaeological datasets","p = 0.5) a",0.5
"114","10.1371/journal.pone.0182565","2017-07-20T00:00:00Z","Reconstructing Asian faunal introductions to eastern Africa from multi-proxy biomolecular and archaeological datasets","p = 0.46).",0.46
"115","10.1371/journal.pone.0215578","2019-04-05T00:00:00Z","Manuring practices in the first millennium AD in southern Sweden inferred from isotopic analysis of crop remains","p < 0.0001",5e-05
"116","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.0918",0.0918
"117","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.049)",0.049
"118","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.0004",4e-04
"119","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.0001",1e-04
"120","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.0009",9e-04
"121","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.01).",0.01
"122","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.0105",0.0105
"123","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 1.107e",1e-05
"124","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 2.549e",1e-05
"125","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.171)",0.171
"126","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.001)",0.001
"127","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.007)",0.007
"128","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.004)",0.004
"129","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.035)",0.035
"130","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 8.9453",8.9453
"131","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.001)",0.001
"132","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = <0.001",5e-04
"133","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = <0.001",5e-04
"134","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 2.2e16",1e-05
"135","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 2.2e16",1e-05
"136","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.3464",0.3464
"137","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.9032",0.9032
"138","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 6.35e-",1e-05
"139","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 2.07e-",1e-05
"140","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.004 ",0.004
"141","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.002)",0.002
"142","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.0057",0.0057
"143","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.035)",0.035
"144","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = <0.001",5e-04
"145","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = <0.001",5e-04
"146","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.05),",0.05
"147","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = 0.65) ",0.65
"148","10.1371/journal.pone.0254603","2021-06-29T00:00:00Z","Tracing the spatial imprint of Oldowan technological behaviors: A view from DS (Bed I, Olduvai Gorge, Tanzania)","p = >0.05)",0.05
"149","10.1371/journal.pone.0239227","2020-09-01T00:00:00Z","Byzantine—Early Islamic resource management detected through micro-geoarchaeological investigations of trash mounds (Negev, Israel)","p = apatit",NA
"150","10.1371/journal.pone.0205649","2018-09-30T00:00:00Z","Semi-supervised machine learning approaches for predicting the chronology of archaeological sites: A case study of temples from medieval Angkor, Cambodia","p = 0.00).",0
"151","10.1371/journal.pone.0051122","2012-10-29T00:00:00Z","High Potential for Using DNA from Ancient Herring Bones to Inform Modern Fisheries Management and Conservation","p = 0.421)",0.421
"152","10.1371/journal.pone.0210187","2018-12-17T00:00:00Z","Dorset Pre-Inuit and Beothuk foodways in Newfoundland, ca. AD 500-1829","p = 0.000)",0
"153","10.1371/journal.pone.0210187","2018-12-17T00:00:00Z","Dorset Pre-Inuit and Beothuk foodways in Newfoundland, ca. AD 500-1829","p = 0.000)",0
"154","10.1371/journal.pone.0210187","2018-12-17T00:00:00Z","Dorset Pre-Inuit and Beothuk foodways in Newfoundland, ca. AD 500-1829","p = 0.000)",0
